                                     chan  17July  19July  21July  23July     mean    min     max  100*diff/mean
40                PDU_24VD/Main_T/limitHi    14.0    13.8    14.0    16.4   14.550   13.8    16.4          17.87
75          PDU_24VC/Body_Maq20_I/limitHi   285.0   291.0   285.0   285.0  286.500  285.0   291.0           2.09
76           PDU_24VC/Body_Maq20_I/warnHi   282.0   288.0   282.0   282.0  283.500  282.0   288.0           2.12
77           PDU_24VC/Body_Maq20_I/warnLo   256.0   256.0   256.0   256.0  256.000  256.0   256.0           0.00
78          PDU_24VC/Body_Maq20_I/limitLo   253.0   253.0   253.0   253.0  253.000  253.0   253.0           0.00
87           PDU_24VC/Cryo_Maq20_I/warnLo   980.0   980.0   980.0   980.0  980.000  980.0   980.0           0.00
88          PDU_24VC/Cryo_Maq20_I/limitLo   970.0   970.0   970.0   970.0  970.000  970.0   970.0           0.00
96           PDU_24VC/Int_Valves_I/warnHi    46.0    46.0    46.0    46.0   46.000   46.0    46.0           0.00
105      PDU_24VC/FES_CarouselC_I/limitHi   748.0   560.0   573.0   886.0  691.750  560.0   886.0          47.13
106       PDU_24VC/FES_CarouselC_I/warnHi   696.0   538.0   549.0   810.0  648.250  538.0   810.0          41.96
117        PDU_24VC/FES_ChangerC_I/warnLo   593.0   456.0   444.0   446.0  484.750  444.0   593.0          30.74
118       PDU_24VC/FES_ChangerC_I/limitLo   566.0   400.0   386.0   389.0  435.250  386.0   566.0          41.36
125        PDU_24VC/FES_LoaderC_I/limitHi     0.0     0.0     0.0     0.0    0.000    0.0     0.0            NaN
126         PDU_24VC/FES_LoaderC_I/warnHi     0.0     0.0     0.0     0.0    0.000    0.0     0.0            NaN
127         PDU_24VC/FES_LoaderC_I/warnLo     0.0     0.0     0.0     0.0    0.000    0.0     0.0            NaN
128        PDU_24VC/FES_LoaderC_I/limitLo     0.0     0.0     0.0     0.0    0.000    0.0     0.0            NaN
135          PDU_24VC/Shtr_PLC1_I/limitHi   562.0   581.0   569.0   562.0  568.500  562.0   581.0           3.34
136           PDU_24VC/Shtr_PLC1_I/warnHi   556.0   576.0   564.0   556.0  563.000  556.0   576.0           3.55
137           PDU_24VC/Shtr_PLC1_I/warnLo   462.0   455.0   462.0   462.0  460.250  455.0   462.0           1.52
138          PDU_24VC/Shtr_PLC1_I/limitLo   457.0   450.0   457.0   457.0  455.250  450.0   457.0           1.54
